	weight	wr
1	100	79.3
2	103.5	125.4
3	102.6	95.8
4	100.9	57.1
5	101.3	69.7
6	99.6	47.5
7	90.9	33.8
8	86.5	7.5
9	80	5.9
10	82.6	11.8
11	90.4	18.6
12	96.1	35
13	102.6	58.6
14	100.4	97.2
15	100	87.4
16	101	92.5
17	100.5	85.4
18	100	94
19	101.5	90.5
20	101	23.5
21	99.5	55.6
22	99.5	79.4
23	104.6	91
24	103.6	80.8
25	102.6	80.8
26	105.6	88.6
27	106.7	95.1
28	107.7	116.3
29	100	106.6
30	98.6	102.2
31	99.5	88.8
32	98.6	110
33	101.4	119.3
34	100.9	81.7
35	98.1	102.6
36	98.1	117.7
37	98.1	101.9
38	98.1	100.9
39	98.1	99.7
40	98.6	104
41	97.7	111.5
42	101.4	119.2
43	100	81.2
44	101	93.2
45	102.4	83.8
46	101.9	96.4
47	101.9	91.1
48	100	45.8
49	94.2	51.8
50	90.4	35.5
51	88	40.2
52	97.6	55.4
53	104.8	67.3
54	106.3	90
55	104.8	77.3
56	105.3	87.8
57	100	72.3
58	98.5	95.3
59	97.1	98.4
60	98.5	96.9
61	96.6	96.3
62	97.6	67
63	100	89.1
64	99	88.7
65	99.5	94.6
66	98.1	85
67	100	88.4
68	97.6	85.7
69	96.6	91.2
70	100.5	82.2
71	100	76.7
72	98.2	77.7
73	99.1	87.8
74	99.1	76.8
75	97.2	68.2
76	100	50.8
77	100.5	64.8
78	102.3	69.7
79	100.9	91.7
80	99.1	79.9
81	99.1	81.6
82	99.5	84.6
83	101.4	74.7
84	103.2	101.1
85	100	103
86	95.8	104.4
87	94.9	122.3
88	95.3	104.1
89	94.4	100.1
90	95.8	66.8
91	93	104.7
92	94.4	75.7
93	95.3	143.8
94	94.4	106.9
95	96.7	103.2
96	95.8	115.5
97	96.3	117.2
98	97.7	107.5
99	100	134.2
100	99.1	106.9
101	99.5	96.5
102	99.1	102
103	99.1	87.1
104	99.5	45.1
105	92.6	36.8
106	87.1	29.3
107	86.2	23.5
108	90.8	52.4
109	95.4	76.7
110	99.1	80.3
111	100.5	104.4
112	101.4	74.7
113	100	74.7
114	97.7	88.5
115	95.3	108.5
116	95.3	109.6
117	93.9	140.5
118	95.3	77.1
119	95.3	93.8
120	96.7	90.6
121	98.1	110
122	98.6	119.9
123	96.3	120.6
124	94.4	126.6
