	id	treatment	condition	day	bw	bwc	score	mgs	mgs30	mgs180	bur2h	burON	hr	hrv	temp	act
1	Ca_001	Transmitter	Carprofen	-1	18.4	100	0	0.1	NA	NA	56.39602145	71.94116392	453.559633	12.4321537	36.61165138	1064.84
2	Ca_001	Transmitter	Carprofen	0	16.1	87.5	2	0.1125	0.861160714	0.3625	14.92109039	44.69153515	660.5897436	2.051861207	36.18393162	125.54
3	Ca_001	Transmitter	Carprofen	1	16.7	90.76086957	2	0.19375	NA	NA	51.07296137	97.63948498	584.9174312	4.843866667	37.49761468	407.34
4	Ca_001	Transmitter	Carprofen	2	17.1	92.93478261	2	0.165625	NA	NA	42.28045326	99.00849858	538.0366972	6.767956481	37.13743119	351.64
5	Ca_001	Transmitter	Carprofen	3	17.3	94.02173913	1	NA	NA	NA	NA	NA	482.1559633	7.072864815	36.71055046	286.28
6	Ca_001	Transmitter	Carprofen	4	17.3	94.02173913	1	0.065625	NA	NA	54.9047283	69.1601976	525.5229358	7.134939815	37.08357798	387.3
7	Ca_001	Transmitter	Carprofen	5	17.8	96.73913043	0	NA	NA	NA	NA	NA	478.8971963	7.16862963	36.63757009	897.8
8	Ca_001	Transmitter	Carprofen	6	18	97.82608696	0	0.1375	NA	NA	NA	NA	NA	NA	NA	NA
9	Ca_001	Transmitter	Carprofen	7	18.2	98.91304348	0	NA	NA	NA	45.42228531	52.73243435	472.2844037	7.690362037	36.31880734	707.06
10	Ca_001	Transmitter	Carprofen	8	18.2	98.91304348	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	Ca_001	Transmitter	Carprofen	9	19	103.2608696	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	Ca_001	Transmitter	Carprofen	10	19.4	105.4347826	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	Ca_001	Transmitter	Carprofen	11	19.3	104.8913043	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	Ca_001	Transmitter	Carprofen	12	19.4	105.4347826	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	Ca_001	Transmitter	Carprofen	13	19.8	107.6086957	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	Ca_001	Transmitter	Carprofen	14	20.3	110.326087	0	NA	NA	NA	NA	NA	469.4587156	11.86825926	36.50981651	899.08
17	Ca_001	Transmitter	Carprofen	15	20.3	110.326087	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Ca_001	Transmitter	Carprofen	16	19.9	108.1521739	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Ca_001	Transmitter	Carprofen	17	20.1	109.2391304	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	Ca_001	Transmitter	Carprofen	18	20.4	110.8695652	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	Ca_001	Transmitter	Carprofen	19	20.9	113.5869565	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	Ca_001	Transmitter	Carprofen	20	20.9	113.5869565	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	Ca_001	Transmitter	Carprofen	21	20.6	111.9565217	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	Ca_001	Transmitter	Carprofen	22	21	114.1304348	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	Ca_001	Transmitter	Carprofen	23	20.1	109.2391304	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	Ca_001	Transmitter	Carprofen	24	21.3	115.7608696	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	Ca_001	Transmitter	Carprofen	25	20.9	113.5869565	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	Ca_001	Transmitter	Carprofen	26	21	114.1304348	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	Ca_001	Transmitter	Carprofen	27	20.8	113.0434783	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	Ca_001	Transmitter	Carprofen	28	21.1	114.67	0	NA	NA	NA	NA	NA	453.559633	12.4321537	36.61165138	1064.84
31	Ca_003	Transmitter	Carprofen	-1	19.6	100	0	0.1875	NA	NA	71.12591421	94.36842084	458.7889908	17.42581852	36.68137615	644.9
32	Ca_003	Transmitter	Carprofen	0	17.1	87.24489796	2	0.375	1.295833333	0.216666667	0	0	680.2818182	1.410159259	35.69627273	202.86
33	Ca_003	Transmitter	Carprofen	1	17.1	87.24489796	2	0.303125	NA	NA	1.062322946	54.17847025	623.1100917	3.2924	37.20165138	168.68
34	Ca_003	Transmitter	Carprofen	2	17.6	89.79591837	2	0.078125	NA	NA	70.59669303	100	579.2568807	6.263471296	37.41302752	402.2
35	Ca_003	Transmitter	Carprofen	3	18.2	92.85714286	2	NA	NA	NA	NA	NA	491.6055046	9.388085185	36.6187156	354.36
36	Ca_003	Transmitter	Carprofen	4	18.8	95.91836735	1	0.1	NA	NA	72.05673759	95.81560284	515.6146789	9.961891667	36.98587156	457.04
37	Ca_003	Transmitter	Carprofen	5	19.2	97.95918367	0	NA	NA	NA	NA	NA	461.8691589	10.77472778	36.57056075	613.38
38	Ca_003	Transmitter	Carprofen	6	19.5	99.48979592	0	0.1	NA	NA	NA	NA	NA	NA	NA	NA
39	Ca_003	Transmitter	Carprofen	7	20	102.0408163	0	NA	NA	NA	85.3046595	97.92114695	488.1926606	10.3427963	36.52752294	740.76
40	Ca_003	Transmitter	Carprofen	8	20.1	102.5510204	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	Ca_003	Transmitter	Carprofen	9	19.8	101.0204082	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	Ca_003	Transmitter	Carprofen	10	20.3	103.5714286	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	Ca_003	Transmitter	Carprofen	11	20.8	106.122449	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	Ca_003	Transmitter	Carprofen	12	20.7	105.6122449	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	Ca_003	Transmitter	Carprofen	13	20.6	105.1020408	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	Ca_003	Transmitter	Carprofen	14	21.1	107.6530612	0	NA	NA	NA	NA	NA	474.2110092	14.80739259	36.50724771	686.4
47	Ca_003	Transmitter	Carprofen	15	21.5	109.6938776	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	Ca_003	Transmitter	Carprofen	16	21.1	107.6530612	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	Ca_003	Transmitter	Carprofen	17	21.2	108.1632653	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	Ca_003	Transmitter	Carprofen	18	21.3	108.6734694	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	Ca_003	Transmitter	Carprofen	19	21.6	110.2040816	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	Ca_003	Transmitter	Carprofen	20	21.9	111.7346939	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	Ca_003	Transmitter	Carprofen	21	21.7	110.7142857	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	Ca_003	Transmitter	Carprofen	22	21.6	110.2040816	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	Ca_003	Transmitter	Carprofen	23	21.9	111.7346939	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	Ca_003	Transmitter	Carprofen	24	22.1	112.755102	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	Ca_003	Transmitter	Carprofen	25	22.1	112.755102	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	Ca_003	Transmitter	Carprofen	26	22	112.244898	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	Ca_003	Transmitter	Carprofen	27	21.8	111.2244898	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	Ca_003	Transmitter	Carprofen	28	22.5	114.79	0	NA	NA	NA	NA	NA	458.7889908	17.42581852	36.68137615	644.9
61	Ca_006	Transmitter	Carprofen	-1	19.7	100	0	0.106770833	NA	NA	71.19347259	81.47865533	454.2018349	13.9006757	36.47440367	1063.86
62	Ca_006	Transmitter	Carprofen	0	17.7	89.84771574	2	0.128571429	0.532142857	0.466964286	0.071581961	20.54402291	688.18	1.611356701	35.7853	115.19
63	Ca_006	Transmitter	Carprofen	1	17.6	89.34010152	2	0.115625	NA	NA	54.59770115	72.48563218	608.4036697	4.868968519	37.28715596	193.75
64	Ca_006	Transmitter	Carprofen	2	17.7	89.84771574	2	0.328125	NA	NA	45.5064194	79.45791726	537.1743119	7.499992593	36.96284404	528.03
65	Ca_006	Transmitter	Carprofen	3	17.9	90.86294416	2	NA	NA	NA	NA	NA	483.4495413	8.488487963	36.82119266	490.75
66	Ca_006	Transmitter	Carprofen	4	17.9	90.86294416	2	0.09375	NA	NA	61.37339056	71.45922747	521.2385321	7.58865463	37.01770642	576.54
67	Ca_006	Transmitter	Carprofen	5	18.9	95.93908629	1	NA	NA	NA	NA	NA	449.5607477	9.041167593	36.39514019	612.85
68	Ca_006	Transmitter	Carprofen	6	18.5	93.90862944	2	0.328571429	NA	NA	NA	NA	NA	NA	NA	NA
69	Ca_006	Transmitter	Carprofen	7	19.2	97.46192893	0	NA	NA	NA	49.17680744	87.47315676	443.6605505	10.81257037	36.43788991	563.02
70	Ca_006	Transmitter	Carprofen	8	19.2	97.46192893	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	Ca_006	Transmitter	Carprofen	9	19.7	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	Ca_006	Transmitter	Carprofen	10	20.1	102.0304569	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	Ca_006	Transmitter	Carprofen	11	20	101.5228426	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	Ca_006	Transmitter	Carprofen	12	20.1	102.0304569	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	Ca_006	Transmitter	Carprofen	13	20.5	104.0609137	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	Ca_006	Transmitter	Carprofen	14	21	106.5989848	0	NA	NA	NA	NA	NA	474.7522936	12.69949626	36.5453211	957.3
77	Ca_006	Transmitter	Carprofen	15	21.2	107.6142132	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	Ca_006	Transmitter	Carprofen	16	21	106.5989848	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	Ca_006	Transmitter	Carprofen	17	21.1	107.106599	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	Ca_006	Transmitter	Carprofen	18	21.1	107.106599	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	Ca_006	Transmitter	Carprofen	19	21.5	109.1370558	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	Ca_006	Transmitter	Carprofen	20	21.8	110.6598985	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	Ca_006	Transmitter	Carprofen	21	22	111.6751269	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	Ca_006	Transmitter	Carprofen	22	22.5	114.213198	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	Ca_006	Transmitter	Carprofen	23	22.8	115.7360406	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	Ca_006	Transmitter	Carprofen	24	22.7	115.2284264	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	Ca_006	Transmitter	Carprofen	25	22.7	115.2284264	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	Ca_006	Transmitter	Carprofen	26	22.5	114.213198	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	Ca_006	Transmitter	Carprofen	27	22.2	112.6903553	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	Ca_006	Transmitter	Carprofen	28	21.8	110.66	0	NA	NA	NA	NA	NA	454.2018349	13.9006757	36.47440367	1063.86
